date,equity,cash,peak,drawdown,daily_return
2024-08-20,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-21,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-22,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-23,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-26,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-27,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-28,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-29,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-08-30,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-02,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-03,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-04,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-05,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-06,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-09,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-10,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-11,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-12,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-13,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-16,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-17,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-18,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-19,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-20,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-23,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-24,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-25,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-26,33031009.073957987,33031009.073957987,33031009.073957987,0.0,0.0
2024-09-27,33609496.74740109,23.19784054532647,33609496.74740109,0.0,0.017513472632574967
2024-09-30,33288478.470911834,23.19784054532647,33609496.74740109,-0.009551415747219641,-0.009551415747219627
2024-10-01,33950072.707239956,23.19784054532647,33950072.707239956,0.0,0.019874571224582693
2024-10-03,34055998.034754604,23.19784054532647,34055998.034754604,0.0,0.003120032420197427
2024-10-04,33869579.97629921,33869579.97629921,34055998.034754604,-0.005473868605029592,-0.00547386860502963
2024-10-07,33869579.97629921,33869579.97629921,34055998.034754604,-0.005473868605029592,0.0
2024-10-08,33622882.82282631,166.95731727778912,34055998.034754604,-0.01271773657862833,-0.007283738199456047
2024-10-09,33541053.18421547,166.95731727778912,34055998.034754604,-0.015120533246849052,-0.0024337484397763953
2024-10-10,33610848.188335344,166.95731727778912,34055998.034754604,-0.013071114402960046,0.0020808829030067866
2024-10-11,33541053.18421547,166.95731727778912,34055998.034754604,-0.015120533246849052,-0.002076561821016343
2024-10-14,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.006815510461887886
2024-10-15,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-16,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-17,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-18,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-21,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-22,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-23,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-24,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-25,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-28,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-29,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-30,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-10-31,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-01,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-04,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-05,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-06,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-07,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
2024-11-08,33769652.58309523,33769652.58309523,34055998.034754604,-0.008408076937494374,0.0
